 RANCH version 2.1 - r(10584)
 Started: ............................................... : Wed Oct 17 11:39:55 2018
 iSeed .................................................. : 1906904818
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 86
 Number of atoms: ....................................... : 86
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
    1018               1906905835     2
    1019               1906905836     2
    1020               1906905837     2
    1021               1906905838     2
    1022               1906905839     2
    1023               1906905840     2
    1024               1906905841     2
    1025               1906905842     2
    1026               1906905843     2
    1027               1906905844     2
    1028               1906905845     2
    1029               1906905846     2
    1030               1906905847     2
    1031               1906905848     2
    1032               1906905849     2
    1033               1906905850     2
    1034               1906905851     2
    1035               1906905852     2
    1036               1906905853     2
    1037               1906905854     2
    1038               1906905855     2
    1039               1906905856     2
    1040               1906905857     2
    1041               1906905858     2
    1042               1906905859     2
    1043               1906905860     2
    1044               1906905861     2
    1045               1906905862     2
    1046               1906905863     2
    1047               1906905864     2
    1048               1906905865     2
    1049               1906905866     2
    1050               1906905867     2
    1051               1906905868     2
    1052               1906905869     2
    1053               1906905870     2
    1054               1906905871     2
    1055               1906905872     2
    1056               1906905873     2
    1057               1906905874     2
    1058               1906905875     2
    1059               1906905876     2
    1060               1906905877     2
    1061               1906905878     2
    1062               1906905879     2
    1063               1906905880     2
    1064               1906905881     2
    1065               1906905882     2
    1066               1906905883     2
    1067               1906905884     2
    1068               1906905885     2
    1069               1906905886     2
    1070               1906905887     2
    1071               1906905888     2
    1072               1906905889     2
    1073               1906905890     2
    1074               1906905891     2
    1075               1906905892     2
    1076               1906905893     2
    1077               1906905894     2
    1078               1906905895     2
    1079               1906905896     2
    1080               1906905897     2
    1081               1906905898     2
    1082               1906905899     2
    1083               1906905900     2
    1084               1906905901     2
    1085               1906905902     2
    1086               1906905903     2
    1087               1906905904     2
    1088               1906905905     2
    1089               1906905906     2
    1090               1906905907     2
    1091               1906905908     2
    1092               1906905909     2
    1093               1906905910     2
    1094               1906905911     2
    1095               1906905912     2
    1096               1906905913     2
    1097               1906905914     2
    1098               1906905915     2
    1099               1906905916     2
    1100               1906905917     2
    1101               1906905918     2
    1102               1906905919     2
    1103               1906905920     2
    1104               1906905921     2
    1105               1906905922     2
    1106               1906905923     2
    1107               1906905924     2
    1108               1906905925     2
    1109               1906905926     2
    1110               1906905927     2
    1111               1906905928     2
    1112               1906905929     2
    1113               1906905930     2
    1114               1906905931     2
    1115               1906905932     2
    1116               1906905933     2
    1117               1906905934     2
    1118               1906905935     2
    1119               1906905936     2
    1120               1906905937     2
    1121               1906905938     2
    1122               1906905939     2
    1123               1906905940     2
    1124               1906905941     2
